Disease,Contagious,Cause_of_Disease,Medication_Required,Hospitalisation_Needed,Care_Recommendations,Chronic_Condition,Average_Recovery_Time_Weeks
Drug Abuse (Barbiturates),FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",No,8
Primary Insomnia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Mastoiditis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Acinic cell carcinoma,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Arthritis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Wharton's duct stones,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Pharyngitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Pericarditis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Antihypertensives Poisoning,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Hypothyroidism,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Oral Leukoplakia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Seborrheic Dermatitis,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Hydrocephalus,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Marijuana Abuse,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Chronic Otitis Media,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Pterygium,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Hepatic Encephalopathy,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Tietze Syndrome,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Nose Disorder,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Exfoliation Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Protein Deficiency,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Thrombocytopenia,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Alopecia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Polymyalgia Rheumatica,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Bone Cancer,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Preeclampsia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hypertrophic Obstructive Cardiomyopathy (HOCM),TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Nonalcoholic Liver Disease (NASH),TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Amyloidosis,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Ethylene glycol poisoning-3,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Fracture of the Rib,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Breast Cancer,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Neuromyelitis Optica,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Eye alignment disorder,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Meniere Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Pituitary Adenoma,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Ischemia of the Bowel,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Hydrocele of the Testicle,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Endometrial Cancer,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Endometriosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hydronephrosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Bell Palsy,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Abscess of Nose,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Bladder Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Emphysema,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Extrapyramidal Effect of Drugs,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Vasculitis,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Female Infertility of Unknown Cause,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Syringomyelia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Von Hippel-Lindau Disease,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Hemorrhoids,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Bursitis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Cannabis Use Disorder,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Heart Block,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Hemolytic Anemia,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Benzodiazepine Use Disorder,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Mitral Valve Disease,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Varicose Veins,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Recurrent salivary stones,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Ocular Hypertension,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Colonic Polyp,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Indigestion,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Acute Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Hypoglycemia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Sciatica,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Type 2 Diabetes,TRUE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Cystic Fibrosis,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Insulin Overdose,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Peritonsillar Abscess,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Leishmaniasis,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Pulmonary Congestion,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Magnesium Deficiency,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Fracture of the Shoulder,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Thrombophlebitis,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Encephalitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Fat Embolism,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Cyst of the Eyelid,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Dislocation of the Patella,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Conjunctivitis due to Allergy,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Coagulation (Bleeding) Disorder,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Idiopathic Absence of Menstruation,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Migraine,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Temporomandibular Joint Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Vitamin A Deficiency,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Glucocorticoid Deficiency,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Astigmatism,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Low-Tension Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Headache after lumbar puncture,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Flat Feet,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Carbon Monoxide Poisoning,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Orbital Cellulitis,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Pulmonary Eosinophilia,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Antimicrobial Drugs Poisoning,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Eczema,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Pneumonia,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Intestinal Malabsorption,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Conductive Hearing Loss,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Pinworm Infection,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Esophageal Varices,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Dermatitis due to Sun Exposure,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Gonorrhea,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Chronic Sinusitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Concussion,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Parathyroid Adenoma,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Herpangina,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Conversion Disorder,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Lymphedema,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hirschsprung Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Rheumatoid Arthritis,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Turner syndrome,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Sciatica,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Endophthalmitis,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Myelodysplastic Syndrome,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Premature Ventricular Contractions (PVCs),FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Ludwig's angina,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Cryptococcosis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Diabetic Kidney Disease,TRUE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Premenstrual Tension Syndrome,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Drug Abuse (Methamphetamine),FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Urge Incontinence,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Dengue Fever,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
