Disease,Symptoms,Medical_Test_Results,Possible_Patient_History,Lifestyle_Factors
Normal Pressure Hydrocephalus,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Influenza (Flu),"High fever, body aches, fatigue, cough, sore throat, congestion","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy,Hormonal changes and pregnancy-related blood test abnormalities,Current or previous pregnancy-related complications,"Poor nutrition, stress, lack of prenatal care"
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Acinic cell carcinoma,"Lump, swelling, Facial changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Arthritis,"Joint pain, stiffness, swelling","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Pterygium,Growth on the conjunctiva (white part of the eye),Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Nose Disorder,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Thrombocytopenia,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Alopecia,"Hair loss or balding, patchy or generalized hair loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Nonalcoholic Liver Disease (NASH),"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Amyloidosis,"Fatigue, weight loss, organ dysfunction",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Hydrocele of the Testicle,Swelling of the scrotum,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Endometriosis,"Pelvic pain, painful periods, infertility",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Abscess of Nose,"Pain, swelling, redness, discharge from the nose",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bladder Disorder,"Frequent urination, urgency, pelvic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Syringomyelia,"Muscle weakness, loss of sensation, chronic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Biopsy, imaging scans, or abnormal tumor marker results","Family history of cancer, unexplained weight loss, chronic symptoms","Smoking, alcohol use, chemical exposure, unhealthy diet"
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bursitis,"Joint pain, swelling, tenderness, limited range of motion","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Cannabis Use Disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Varicose Veins,"Enlarged, swollen veins, often in the legs",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Recurrent salivary stones,Frequent episodes of stone formation,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypoglycemia,"Shaking, dizziness, confusion, sweating",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Type 2 Diabetes,"Fatigue, Increased hunger, Slow healing of wounds",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Fat Embolism,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Cyst of the Eyelid,"Painful lump or swelling on the eyelid, redness, tenderness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Coagulation (Bleeding) Disorder,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Idiopathic Absence of Menstruation,Lack of menstrual periods,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Migraine,"Severe headaches, nausea, sensitivity to light and sound",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Headache after lumbar puncture,throbbing headache,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Flat Feet,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Orbital Cellulitis,"Eye pain, swelling, redness, vision changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Eczema,"Itchy, red, inflamed skin, rash","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Intestinal Malabsorption,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dermatitis due to Sun Exposure,"Sunburn-like rash, redness, itching","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
