,source_text,plagiarized_text,label
387,Regular exercise improves physical health.,Physical health is improved by regular exercise.,0
388,Listening to music can elevate mood.,Mood is elevated by listening to music.,0
389,Gardening provides a connection to nature.,A connection to nature is provided by gardening.,0
390,Writing essays enhances research skills.,Research skills are enhanced by writing essays.,0
391,Volunteering builds a sense of purpose.,A sense of purpose is built through volunteering.,0
392,Swimming provides a full-body workout.,A full-body workout is provided by swimming.,0
393,Cycling improves cardiovascular health.,Cardiovascular health is improved by cycling.,0
394,Cooking at home promotes family bonding.,Family bonding is promoted by cooking at home.,0
395,Learning history helps understand societal development.,Societal development is understood by learning history.,0
396,Reading fiction improves empathy.,Empathy is improved by reading fiction.,0
397,Playing musical instruments enhances creativity.,Creativity is enhanced by playing musical instruments.,0
398,Studying history helps in understanding the present.,Understanding the present is aided by studying history.,0
399,Listening to classical music can improve focus.,Focus is improved by listening to classical music.,0
400,Practicing yoga enhances physical flexibility.,Physical flexibility is enhanced by practicing yoga.,0
401,Volunteering fosters community spirit.,Community spirit is fostered by volunteering.,0
